[11-13-jue. 15:54:47,61] INICIO 
[11-13-jue. 15:57:29,41] INICIO 
[11-13-jue. 15:57:29,41] CREANDO ZIP catalogo_ps2_11-13-jue._V1.zip 
[11-13-jue. 15:57:29,81] DESTINO NO DISPONIBLE -
[11-13-jue. 15:57:29,81] COPY OK -
[11-13-jue. 15:57:29,81] COPY OK -
[11-13-jue. 15:57:29,81] DESTINO NO DISPONIBLE -
[11-13-jue. 15:57:29,81] COPY OK -
[11-13-jue. 15:57:31,03] LIMPIEZA 
[11-13-jue. 15:57:31,17] FIN 
[11-13-jue. 16:03:59,03] INICIO 
[11-13-jue. 16:03:59,03] CREANDO ZIP catalogo_ps2_11-13-jue._V1.zip 
[11-13-jue. 16:03:59,46] DESTINO NO DISPONIBLE -
[11-13-jue. 16:03:59,46] COPY OK -
[11-13-jue. 16:03:59,46] COPY OK -
[11-13-jue. 16:03:59,46] DESTINO NO DISPONIBLE -
[11-13-jue. 16:03:59,46] COPY OK -
[11-13-jue. 16:04:00,71] LIMPIEZA 
[11-13-jue. 16:04:00,80] FIN 
[11-13-jue. 16:13:32,29] FIN 
[11-13-jue. 16:13:38,98] INICIO 
[11-13-jue. 16:13:38,98] CREANDO ZIP catalogo_ps2_11-13-jue._V1.zip 
[11-13-jue. 16:13:39,40] DESTINO NO DISPONIBLE -
[11-13-jue. 16:13:39,40] COPY OK -
[11-13-jue. 16:13:39,40] DESTINO NO DISPONIBLE -
[11-13-jue. 16:13:39,40] DESTINO NO DISPONIBLE -
[11-13-jue. 16:13:39,40] COPY OK -
[11-13-jue. 16:13:40,64] LIMPIEZA 
[11-13-jue. 16:13:40,74] FIN 
[11-13-jue. 16:16:22,82] INICIO 
[11-13-jue. 16:16:22,82] CREANDO ZIP catalogo_ps2_11-13-jue._V1.zip 
[11-13-jue. 16:16:23,24] COPY OK -
[11-13-jue. 16:16:23,24] COPY OK -
[11-13-jue. 16:16:23,24] COPY OK -
[11-13-jue. 16:16:23,24] COPY FAIL -
[11-13-jue. 16:16:23,24] COPY FAIL -
[11-13-jue. 16:16:24,45] LIMPIEZA 
[11-13-jue. 16:16:24,62] FIN 
[11-13-jue. 17:04:36,23] INICIO 
[11-13-jue. 17:04:36,26] ZIP catalogo_ps2_11-13-jue._V2.zip 
[11-13-jue. 17:04:36,76] COPY OK -
[11-13-jue. 17:04:36,76] COPY OK -
[11-13-jue. 17:04:36,76] COPY OK -
[11-13-jue. 17:04:36,76] COPY FAIL -
[11-13-jue. 17:04:37,67] LIMPIEZA 
[11-13-jue. 17:04:37,89] FIN 
[11-13-jue. 17:13:41,34] INICIO 
[11-13-jue. 17:13:41,38] ZIP catalogo_ps2_11-13-jue._V3.zip 
[11-13-jue. 17:13:41,87] COPY OK -
[11-13-jue. 17:13:41,87] COPY OK -
[11-13-jue. 17:13:41,87] COPY OK -
[11-13-jue. 17:13:41,87] COPY FAIL -
[11-13-jue. 17:13:43,27] LIMPIEZA 
[11-13-jue. 17:13:43,47] FIN 
[11-13-jue. 17:15:13,12] INICIO 
[11-13-jue. 17:15:13,14] ZIP catalogo_ps2_11-13-jue._V4.zip 
[11-13-jue. 17:15:13,55] COPY OK -
[11-13-jue. 17:15:13,55] COPY OK -
[11-13-jue. 17:15:13,55] COPY OK -
[11-13-jue. 17:15:13,55] COPY OK -
[11-13-jue. 17:15:15,13] LIMPIEZA 
[11-13-jue. 17:15:15,28] FIN 
[11-13-jue. 17:16:41,13] INICIO 
[11-13-jue. 17:16:41,14] ZIP catalogo_ps2_11-13-jue._V5.zip 
[11-13-jue. 17:16:41,61] COPY OK -
[11-13-jue. 17:16:41,61] COPY OK -
[11-13-jue. 17:16:41,61] COPY OK -
[11-13-jue. 17:16:41,61] COPY OK -
[11-13-jue. 17:16:42,75] LIMPIEZA 
[11-13-jue. 17:16:42,93] FIN 
